#                     Distributed Loads                    #
260
# |  N1  |  N2  | ... |  Nn  |  SX  |  SY  | Sz (only3D) | #
29600	29589	29588	29599	0.00	-10.00	0.00
29601	29590	29589	29600	0.00	-10.00	0.00
29603	29592	29591	29602	0.00	-10.00	0.00
29604	29593	29592	29603	0.00	-10.00	0.00
29605	29594	29593	29604	0.00	-10.00	0.00
29606	29595	29594	29605	0.00	-10.00	0.00
29607	29596	29595	29606	0.00	-10.00	0.00
29608	29597	29596	29607	0.00	-10.00	0.00
29609	29598	29597	29608	0.00	-10.00	0.00
29610	29599	29598	29609	0.00	-10.00	0.00
29611	29600	29599	29610	0.00	-10.00	0.00
29612	29601	29600	29611	0.00	-10.00	0.00
29614	29603	29602	29613	0.00	-10.00	0.00
29615	29604	29603	29614	0.00	-10.00	0.00
29616	29605	29604	29615	0.00	-10.00	0.00
29617	29606	29605	29616	0.00	-10.00	0.00
29618	29607	29606	29617	0.00	-10.00	0.00
29619	29608	29607	29618	0.00	-10.00	0.00
29620	29609	29608	29619	0.00	-10.00	0.00
29621	29610	29609	29620	0.00	-10.00	0.00
29622	29611	29610	29621	0.00	-10.00	0.00
29623	29612	29611	29622	0.00	-10.00	0.00
29625	29614	29613	29624	0.00	-10.00	0.00
29626	29615	29614	29625	0.00	-10.00	0.00
29627	29616	29615	29626	0.00	-10.00	0.00
29628	29617	29616	29627	0.00	-10.00	0.00
29629	29618	29617	29628	0.00	-10.00	0.00
29630	29619	29618	29629	0.00	-10.00	0.00
29631	29620	29619	29630	0.00	-10.00	0.00
29632	29621	29620	29631	0.00	-10.00	0.00
29633	29622	29621	29632	0.00	-10.00	0.00
29634	29623	29622	29633	0.00	-10.00	0.00
29636	29625	29624	29635	0.00	-10.00	0.00
29637	29626	29625	29636	0.00	-10.00	0.00
29638	29627	29626	29637	0.00	-10.00	0.00
29639	29628	29627	29638	0.00	-10.00	0.00
29640	29629	29628	29639	0.00	-10.00	0.00
29641	29630	29629	29640	0.00	-10.00	0.00
29642	29631	29630	29641	0.00	-10.00	0.00
29643	29632	29631	29642	0.00	-10.00	0.00
29644	29633	29632	29643	0.00	-10.00	0.00
29645	29634	29633	29644	0.00	-10.00	0.00
29647	29636	29635	29646	0.00	-10.00	0.00
29648	29637	29636	29647	0.00	-10.00	0.00
29649	29638	29637	29648	0.00	-10.00	0.00
29650	29639	29638	29649	0.00	-10.00	0.00
